"Timestamp","Studij","Upisana godina studija","Upoznatost sa znanstvenim radom [Upoznat/a sam sa znanstvenim radom fakulteta]","Upoznatost sa znanstvenim radom [Upoznat/a sam sa znanstvenim radom svojih nastavnika]","Upoznatost sa znanstvenim radom [Moji su nastavnici stručnjaci u svojem polju koji aktivno doprinose znanstvenoj zajednici]","Upoznatost sa znanstvenim radom [Upoznat sam s istraživačkim grupama fakulteta i mogu nabrojati nekoliko grupa]","Možemo podijeliti aktivnosti nastavnika na nastavne (predavanja, vježbe, priprema nastave, ispiti) i znanstvene (istraživanje, pisanje znanstvenih radova, prijava i vođenje projekata).

Po vašoj procjeni, koliko svojeg vremena nastavnici provode na znanstvene aktivnosti?","Nastavno na prošlo pitanje, po vašoj procjeni, koliko svojeg vremena tijekom doktorskog studija doktorandi provode na znanstvene aktivnosti?","Tijekom svog dosadašnjeg školovanja, koliko ste pročitali znanstvenih radova? (Bilo za potrebe predmeta na fakultetu ili u bilo koje druge svrhe.)","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za znanstveni rad tijekom studija]","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za pohađanje doktorskog studija na FERIT-u]","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za pohađanje doktorskog studija na nekoj drugoj instituciji]","Komentari (neobavezno)"
"2022/12/02 10:28:17 am CET","Diplomski Elektrotehnika","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","manje od 20%","manje od 20%","0","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 10:34:03 am CET","Diplomski Računarstvo","1","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","od 60% do 80%","više od 80%","0","Da","Da","Nisam siguran/a",""
"2022/12/02 10:34:13 am CET","Diplomski Računarstvo","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","manje od 20%","od 20% do 40%","Manje od 5","Nisam siguran/a","Ne","Nisam siguran/a",""
"2022/12/02 10:34:28 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Ne slažem se","Ne slažem se","Ne slažem se","od 20% do 40%","od 20% do 40%","Manje od 5","Da","Ne","Da",""
"2022/12/02 10:38:16 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Ne slažem se","Slažem se","Izrazito se ne slažem","od 20% do 40%","manje od 20%","0","Da","Ne","Ne",""
"2022/12/02 10:39:43 am CET","Diplomski Automobilsko računarstvo i komunikacije","2","Niti se slažem niti ne slažem","Slažem se","Potpuno se slažem","Niti se slažem niti ne slažem","od 20% do 40%","od 60% do 80%","10 i više","Da","Da","Ne",""
"2022/12/02 10:40:17 am CET","Preddiplomski Računarstvo","3","Niti se slažem niti ne slažem","Izrazito se ne slažem","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","0","Ne","Ne","Ne",""
"2022/12/02 10:40:27 am CET","Diplomski Računarstvo","2","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","više od 80%","više od 80%","10 i više","Nisam siguran/a","Ne","Ne",""
"2022/12/02 10:40:35 am CET","Diplomski Računarstvo","1","Ne slažem se","Niti se slažem niti ne slažem","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 10:41:00 am CET","Diplomski Računarstvo","1","Slažem se","Slažem se","Slažem se","Potpuno se slažem","od 60% do 80%","više od 80%","Od 5 do 10","Da","Da","Da",""
